X.1,X,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked,edu,NAcount,nrecline_rude,ngender
183,183,3433260889,Female,> 60,"5'6""",FALSE,NA,Bachelor degree,East North Central,Once a month or less,About half the time,TRUE,No,FALSE,Somewhat,Somewhat,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,1,1
184,184,3433260449,Male,45-60,"6'5""",FALSE,NA,Bachelor degree,Pacific,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE,1,1,2,2
185,185,3433260241,Female,30-44,"5'4""",FALSE,NA,Bachelor degree,West South Central,Once a year or less,Never,TRUE,No,TRUE,Somewhat,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,1,1
186,186,3433259149,Female,30-44,Under 5 ft.,TRUE,"$0 - $24,999",Graduate degree,South Atlantic,Once a year or less,About half the time,TRUE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Once,FALSE,FALSE,1,0,1,1
187,187,3433259146,Female,> 60,"5'1""",FALSE,"$25,000 - $49,999",Bachelor degree,West North Central,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Three times,FALSE,FALSE,1,0,2,1
188,188,3433258577,Female,30-44,"5'8""",TRUE,"$100,000 - $149,999",Bachelor degree,South Atlantic,A few times per month,Always,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Once,FALSE,FALSE,1,0,1,1
189,189,3433258429,Female,30-44,NA,NA,"$50,000 - $99,999",Some college or Associate degree,New England,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
190,190,3433257810,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
191,191,3433256501,Female,> 60,"5'2""",FALSE,NA,Graduate degree,East North Central,Once a month or less,Once in a while,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,1,1,1
192,192,3433256432,Female,30-44,"5'5""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,FALSE,Somewhat,Somewhat,No,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Four times,FALSE,FALSE,1,0,2,1
193,193,3433254127,Female,30-44,"6'6"" and above",TRUE,NA,NA,Pacific,Every day,Always,TRUE,Very,TRUE,Very,Very,Very,Very,Very,Very,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Very,Very,It is not okay to get up during flight,TRUE,TRUE,NA,3,3,1
194,194,3433254063,Female,30-44,"5'5""",FALSE,"$25,000 - $49,999",Graduate degree,Middle Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE,1,0,2,1
195,195,3433253031,Female,30-44,Under 5 ft.,TRUE,"$50,000 - $99,999",Some college or Associate degree,West North Central,Once a month or less,Always,TRUE,No,FALSE,Very,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,FALSE,FALSE,1,0,1,1
196,196,3433252843,Male,> 60,"6'1""",FALSE,NA,Graduate degree,West North Central,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,1,2,2
197,197,3433251770,Female,30-44,"5'5""",TRUE,"$0 - $24,999",Graduate degree,Middle Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,2,1
198,198,3433250869,Male,30-44,"5'3""",FALSE,"$25,000 - $49,999",Less than high school degree,Middle Atlantic,Once a month or less,About half the time,TRUE,Somewhat,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,0,0,2,2
199,199,3433249096,Female,30-44,"5'4""",FALSE,"$0 - $24,999",Bachelor degree,Mountain,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Very,Four times,FALSE,FALSE,1,0,1,1
200,200,3433246146,Female,> 60,"5'6""",FALSE,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,Once a year or less,Usually,FALSE,Somewhat,TRUE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,2,1
201,201,3433244090,Female,30-44,NA,NA,"$25,000 - $49,999",Graduate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
202,202,3433241823,Female,30-44,"5'3""",FALSE,NA,High school degree,East North Central,Once a year or less,Never,FALSE,Very,FALSE,Very,No,Very,Very,No,No,The people in the aisle and window seats get both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Very,Very,Once,TRUE,FALSE,0,1,3,1
203,203,3433240354,Male,45-60,"5'11""",TRUE,"$100,000 - $149,999",Graduate degree,West South Central,A few times per month,Never,TRUE,Very,TRUE,Somewhat,No,No,Somewhat,No,Somewhat,The person in the middle seat gets both arm rests,The person by the window,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,3,2
204,204,3433238615,Male,> 60,"5'9""",FALSE,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Once a month or less,Usually,FALSE,No,FALSE,Somewhat,Somewhat,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Once,FALSE,FALSE,1,0,1,2
205,205,3433238383,Male,> 60,"5'11""",FALSE,NA,Graduate degree,NA,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Twice,FALSE,FALSE,1,2,2,2
206,206,3433237336,Female,30-44,"5'3""",FALSE,"$25,000 - $49,999",Graduate degree,Pacific,Once a year or less,About half the time,TRUE,No,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
207,207,3433235280,Male,30-44,"5'11""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West South Central,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
208,208,3433234647,Male,45-60,NA,NA,"$0 - $24,999",Some college or Associate degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
209,209,3433234161,Male,30-44,"5'5""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Once in a while,FALSE,No,FALSE,Very,Very,Very,Very,Somewhat,Very,The arm rests should be shared,Other (please specify),The person in the window seat should have exclusive control,No,Somewhat,Once,FALSE,FALSE,1,0,1,2
210,210,3433227282,Male,45-60,"5'9""",FALSE,NA,Graduate degree,Mountain,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,TRUE,FALSE,1,1,2,2
211,211,3433227239,Female,> 60,"5'8""",FALSE,"$50,000 - $99,999",High school degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,0,0,2,1
212,212,3433225123,Male,18-29,"6'0""",FALSE,"$0 - $24,999",Some college or Associate degree,West South Central,Once a month or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,More than five times times,TRUE,FALSE,1,0,1,2
213,213,3433225120,Female,30-44,"5'3""",FALSE,NA,Graduate degree,NA,Once a year or less,About half the time,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,2,1,1
214,214,3433221584,Female,> 60,"5'7""",TRUE,NA,Graduate degree,Pacific,Once a month or less,Usually,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,2,1
215,215,3433219834,Female,30-44,"5'4""",TRUE,"$50,000 - $99,999",Bachelor degree,West North Central,Once a year or less,Once in a while,FALSE,No,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The person by the window,The person in the window seat should have exclusive control,No,No,Four times,FALSE,FALSE,1,0,1,1
216,216,3433219750,Female,30-44,"5'1""",FALSE,NA,Graduate degree,New England,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,1,1,1
217,217,3433219337,Female,30-44,"5'7""",FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,Somewhat,Somewhat,Once,TRUE,FALSE,1,0,3,1
218,218,3433219199,Male,30-44,"5'11""",TRUE,"$100,000 - $149,999",Bachelor degree,Pacific,Once a year or less,About half the time,FALSE,Somewhat,FALSE,No,No,Somewhat,Very,No,No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,2
219,219,3433219186,Male,45-60,"6'4""",TRUE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Very,No,Twice,FALSE,FALSE,1,0,1,2
220,220,3433218213,Male,> 60,NA,NA,"$25,000 - $49,999",Bachelor degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
221,221,3433213189,Female,30-44,"5'2""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Never,TRUE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,2,1
222,222,3433212442,Male,18-29,"6'2""",FALSE,NA,High school degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,The people in the aisle and window seats get both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,0,1,2,2
223,223,3433212352,Female,> 60,"5'3""",FALSE,NA,Bachelor degree,Pacific,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Once,FALSE,FALSE,1,1,2,1
224,224,3433212324,Male,45-60,"6'1""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,1,2
225,225,3433210555,Female,30-44,"5'3""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,Somewhat,Very,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,1
226,226,3433209371,Male,30-44,"5'8""",TRUE,"$50,000 - $99,999",Some college or Associate degree,Mountain,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE,1,0,1,2
227,227,3433207203,NA,NA,"6'1""",FALSE,NA,NA,NA,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,NA,6,1,NA
228,228,3433206921,Female,30-44,Under 5 ft.,FALSE,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,Once a year or less,Always,FALSE,No,FALSE,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Very,No,Twice,FALSE,FALSE,1,0,1,1
229,229,3433204206,Male,> 60,"5'7""",FALSE,NA,Graduate degree,West South Central,Once a year or less,About half the time,FALSE,No,FALSE,Somewhat,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,FALSE,FALSE,1,1,1,2
230,230,3433203817,Female,> 60,"5'4""",FALSE,NA,Bachelor degree,East South Central,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE,1,1,1,1
231,231,3433203775,Female,30-44,"5'7""",TRUE,"$0 - $24,999",Some college or Associate degree,South Atlantic,Once a year or less,About half the time,FALSE,No,FALSE,No,No,No,No,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,1
232,232,3433203355,Male,> 60,NA,NA,"$50,000 - $99,999",Bachelor degree,Mountain,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
233,233,3433202893,Female,> 60,"5'6""",FALSE,"$50,000 - $99,999",Graduate degree,West South Central,Once a month or less,About half the time,TRUE,No,FALSE,No,No,No,No,No,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
234,234,3433202043,Male,> 60,"6'1""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
235,235,3433197818,Female,> 60,NA,NA,"$100,000 - $149,999",High school degree,NA,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,1
236,236,3433195418,Male,45-60,"6'0""",TRUE,NA,Bachelor degree,Middle Atlantic,Once a month or less,About half the time,TRUE,No,FALSE,Somewhat,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Three times,FALSE,FALSE,1,1,1,2
237,237,3433194100,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
238,238,3433191468,Female,> 60,"5'6""",FALSE,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
239,239,3433189481,Female,> 60,NA,NA,"$0 - $24,999",High school degree,Middle Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,1
240,240,3433186047,Male,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,Mountain,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,1,0,1,2
241,241,3433185242,Female,> 60,"5'10""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Very,No,Twice,FALSE,FALSE,1,0,1,1
242,242,3433184541,Male,> 60,"6'2""",NA,"$50,000 - $99,999",Bachelor degree,East North Central,Once a month or less,Never,FALSE,Very,FALSE,No,No,No,Very,Very,Somewhat,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,1,3,2
243,243,3433184499,Female,30-44,"5'4""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,Very,Very,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,0,1,1
244,244,3433183494,Male,> 60,"6'4""",FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a year or less,Usually,TRUE,No,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
245,245,3433183371,Male,> 60,NA,NA,NA,Graduate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,2
246,246,3433182349,Female,> 60,"5'8""",FALSE,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Once a month or less,Usually,TRUE,Somewhat,FALSE,No,No,Somewhat,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,2,1
247,247,3433181353,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
248,248,3433180795,Male,30-44,"5'6""",TRUE,"$50,000 - $99,999",NA,New England,Once a month or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,NA,2,2,2
249,249,3433178932,Female,> 60,"5'3""",TRUE,"$50,000 - $99,999",Graduate degree,Mountain,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,2,1
250,250,3433175909,Female,30-44,"5'6""",TRUE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE,1,0,1,1
251,251,3433174882,Male,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,East North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
252,252,3433173989,NA,NA,NA,NA,NA,NA,NA,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
253,253,3433173622,Female,> 60,NA,NA,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
254,254,3433169661,Male,18-29,"5'8""",FALSE,NA,Some college or Associate degree,South Atlantic,Once a month or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,1,1,1,2
255,255,3433169369,Male,> 60,"5'7""",FALSE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,Somewhat,Somewhat,Somewhat,Very,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
256,256,3433167815,Male,> 60,"6'0""",FALSE,"$50,000 - $99,999",Bachelor degree,West South Central,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,2
257,257,3433166875,Male,30-44,"5'11""",TRUE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,1,0,1,2
258,258,3433166173,Female,> 60,NA,NA,NA,High school degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,1
259,259,3433154896,Female,30-44,Under 5 ft.,FALSE,"$0 - $24,999",Some college or Associate degree,East North Central,Once a year or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Very,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE,1,0,1,1
260,260,3433154561,Male,> 60,"5'8""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,Somewhat,Three times,FALSE,FALSE,1,0,1,2
261,261,3433152440,Female,> 60,"5'5""",FALSE,"$25,000 - $49,999",Graduate degree,Middle Atlantic,Once a year or less,Always,TRUE,No,FALSE,No,No,No,Very,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,1
262,262,3433152270,Male,45-60,"5'7""",TRUE,NA,Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,1,1,2
263,263,3433151150,Female,> 60,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,West North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
264,264,3433147945,Female,> 60,"5'6""",FALSE,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,Once a year or less,Never,TRUE,No,TRUE,No,No,No,No,No,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Once,FALSE,FALSE,1,0,1,1
265,265,3433142536,Female,30-44,"5'6""",FALSE,NA,Graduate degree,Middle Atlantic,Once a year or less,About half the time,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,1,2,1
266,266,3433138607,Female,30-44,"5'10""",FALSE,NA,Bachelor degree,East North Central,Once a year or less,Always,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,1,1,1,1
267,267,3433136902,Female,30-44,"5'4""",TRUE,"$50,000 - $99,999",High school degree,East South Central,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,Somewhat,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Once,FALSE,FALSE,0,0,2,1
268,268,3433134491,Female,30-44,"5'6""",TRUE,"$50,000 - $99,999",High school degree,Mountain,Once a year or less,Once in a while,TRUE,No,FALSE,Somewhat,Somewhat,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE,0,0,1,1
269,269,3433134128,Female,> 60,"5'0""",FALSE,"$100,000 - $149,999",Graduate degree,South Atlantic,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,3,1
270,270,3433133066,Male,> 60,"5'9""",FALSE,NA,Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,FALSE,FALSE,1,1,1,2
271,271,3433132169,Male,> 60,"5'7""",FALSE,"$50,000 - $99,999",Graduate degree,Middle Atlantic,Once a year or less,Usually,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,No,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,2
272,272,3433131247,Male,> 60,"6'0""",FALSE,"$100,000 - $149,999",Graduate degree,Pacific,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,No,Very,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,TRUE,FALSE,1,0,3,2
273,273,3433130085,Male,45-60,"5'8""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West North Central,Once a year or less,Never,FALSE,No,TRUE,Somewhat,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,1,0,1,2
274,274,3433128680,Male,> 60,"5'11""",FALSE,NA,Bachelor degree,Mountain,Once a month or less,Never,FALSE,No,TRUE,Very,Very,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,1,1,2
